ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,refind,refindFK,isnref
devon01_0001,mcenglish,"[INTERVIEWER] So you were saying, you were born in Moreleigh?",[INT]	#	so	you	were	say-ing	#	you	were	born	in	Moreleigh,[INT]	#	so	2SG	be.PST	say-PTCP.PRS	#	2SG	be.PST	born	in	Moreleigh,[INTERVIEWER] So you were saying you were born in Moreleigh?,en,MORPHEME_ALIGNED,,devon01_mp3 devon01_wav devon01_eaf devon01_xml devon01_tsv,,0,1981,[INT]	#nc	nc	nc_pro.2	nc	nc	#nc	nc_pro.2	nc	nc	nc	nc_pn_np,,devon01,∅	∅	∅	1000	∅	∅	∅	1000	∅	∅	∅	1003,∅	∅	∅	1000	∅	∅	∅	1000	∅	∅	∅	1003,∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	new
devon01_0002,mcenglish,"I was born in Moreleigh, I moved to Churston when I was nine year old, I must have liked singing because I was in the choir at Moreleigh.",#	I	was	born	in	Moreleigh	#	I	move-d	to	Churston	#	when	I	was	nine	year	old	#	I	must	have	like-d	#	0	sing-ing	#	because	I	was	in	the	choir	at	Moreleigh,#	1SG	be.PRS.1SG	born	in	Moreleigh	#	1SG	move-PST	to	Churston	#	when	1SG	be.PRS.1SG	nine	year	old	#	1SG	must	have.INF	like-PTCP.PST	#	0_I	sing-PTCP.PRS	#	because	1SG	be.PRS.1SG	in	the	choir	at	Moreleigh,"I was born in Moreleigh, I moved to Churston when I was nine year old, I must have liked singing because I was in the choir at Moreleigh.",en,MORPHEME_ALIGNED,,devon01_mp3 devon01_wav devon01_eaf devon01_xml devon01_tsv,,1981,15830,##	pro.1:s	v:pred	rv	adp	pn_np:l	##	pro.1:s	v:pred	adp	pn_np:g	#ac	other	pro.1:s	cop	other	other	other:pred	##	pro.1:a	lv_aux	v:pred	v:pred	#cc:p	f0.1:s	vother:pred	#ac	other	pro.1:s	cop	adp	ln_det	np:pred_l	adp	pn_np:l,,devon01,∅	1000	∅	∅	∅	1003	∅	1000	∅	∅	1004	∅	∅	1000	∅	∅	∅	∅	∅	1000	∅	∅	∅	∅	1000	∅	∅	∅	1000	∅	∅	∅	1005	∅	1003,∅	1000	∅	∅	∅	1003	∅	1000	∅	∅	1004	∅	∅	1000	∅	∅	∅	∅	∅	1000	∅	∅	∅	∅	1000	∅	∅	∅	1000	∅	∅	∅	1005	∅	1003,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅
devon01_0003,mcenglish,"And when we left Moreleigh, the priest there gave mi mother a letter to give to the priest up here.",#	and	#	when	we	left	Moreleigh	%	the	priest	there	gave	mi	mother	a	letter	#	0	0	to	give	to	the	priest	up	here,#	and	#	when	1PL	leave.PST	Moreleigh	%	the	priest	there	give.PST	1SG.POSS	mother	a	letter	#	0_letter	0_mother	to	give.INF	to	the	priest	up	here,"And when we left Moreleigh, the priest there gave my mother a letter to give to the priest up here.",en,MORPHEME_ALIGNED,,devon01_mp3 devon01_wav devon01_eaf devon01_xml devon01_tsv,,15830,24588,##	other	#ac	other	pro.1:a	v:pred	pn_np:p	%	ln_det	np.h:a	rn	v:pred	ln_pro.1:poss	np.h:p	ln_deti	np:p2	#cc:obl	f0:p	f0.h:a	lv	vother:pred	adp	ln_det	np.h:g	rn	rn_other,,devon01,∅	∅	∅	∅	1006	∅	1003	∅	∅	1007	∅	∅	1000	1008	∅	1009	∅	1009	1008	∅	∅	∅	∅	1010	∅	1004,∅	∅	∅	∅	1006	∅	1003	∅	∅	1007	∅	∅	1000	1008	∅	1009	∅	1009	1008	∅	∅	∅	∅	1010	∅	1004,∅	∅	∅	∅	bridging	∅	∅	∅	∅	new	∅	∅	∅	bridging	∅	new	∅	∅	∅	∅	∅	∅	∅	new	∅	∅
devon01_0004,mcenglish,"Well we moved up here in November and uh, we carried on through the winter before any member of the church came to visit us.",#	well	we	move-d	up	here	in	November	#	and	uh	we	carried	on	through	the	winter	#	before	any	member	of	the	church	came	#	0	to	visit	us,#	well	1PL	move-PST	up	here	in	November	#	and	uh	1PL	carry.PST	on	through	the	winter	#	before	any	member	of	the	church	come.PST	#	0_cleric	to	visit.INF	1PL.OBL,Well we moved up here in November and we carried on through the Winter before any member of the church came to visit us.,en,MORPHEME_ALIGNED,,devon01_mp3 devon01_wav devon01_eaf devon01_xml devon01_tsv,,24588,38044,##	other	pro.1:s	v:pred	adp	other:g	adp	np:other	##	other	other	pro.1:s	v:pred	rv	adp	ln_det	np:other	#ac	other	ln_deti	np.h:s	rn	rn_det	rn_np	v:pred	#ac	f0.h:a	lv	vother:pred	pro.1:p,,devon01,∅	∅	1006	∅	∅	1004	∅	∅	∅	∅	∅	1006	∅	∅	∅	∅	∅	∅	∅	∅	1011	∅	∅	1012	∅	∅	1011	∅	∅	1006,∅	∅	1006	∅	∅	1004	∅	∅	∅	∅	∅	1006	∅	∅	∅	∅	∅	∅	∅	∅	1011	∅	∅	1012	∅	∅	1011	∅	∅	1006,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	bridging	∅	∅	∅	∅	∅	∅
devon01_0005,mcenglish,"One day the curate came -- he was riding a bike -- he came up to Holston, where we were living. The first thing she did was to give him this letter which said I had been in the choir; so I had to go and join the choir at Churston, nineteen hundred and ten. I've been singing there ever since, still do.",#	one	day	the	curate	came	#	he	was	riding	a	bike	#	he	came	up	to	Holston	#	where	we	were	living	#	the	first	thing	#	0	she	did	%	was	#	0	to	give	him	this	letter	#	which	said	#	I	had	been	in	the	choir	#	so	I	had	to	go	#	and	0	join	the	choir	at	Churston	nineteen hundred and ten	#	I	='ve	been	sing-ing	there	ever	since	#	0	still	do	0,#	one	day	the	curate	come.PST	#	3SG.M	be.PRS.3SG	ride.PTCP.PRS	a	bike	#	3SG.M	come.PST	up	to	Holston	#	where	1PL	be.PST	live.PTCP.PRS	#	the	first	thing	#	0_thing	3SG.F	do.PST	%	be.PRS.3SG	#	0_mother	to	give.INF	3SG.M.OBL	PROX.SG	letter	#	which	say.PST	#	1SG	have.PST	be.PTCP.PST	in	the	choir	#	so	1SG	have.PST	to	go.INF	#	and	0_I	join.INF	the	choir	at	Churston	nineteen_hundred_and_ten	#	1SG	=have.PRS	be.PTCP.PST	sing-PTCP.PRS	there	ever	since	#	0_I	still	do.PRS	0_that,"One day the Curate came -- he was riding a bike -- he came up to Holston, where we were living. The first thing she did was to give him this letter which said I had been in the choir; so I had to go and join the choir at Churston, nineteen hundred and ten. I've been singing there ever since, I still do.",en,MORPHEME_ALIGNED,,devon01_mp3 devon01_wav devon01_eaf devon01_xml devon01_tsv,,38044,66764,##	ln_deti	np:other	ln_det	np.h:s	v:pred	##	pro.1:a	lv_aux	v:pred	ln_deti	np:p	##	pro.h:s	v:pred	adp	adp	pn_np:g	#ac	other	pro.1:s	lv_aux	v:pred	##	ln_det	ln_adj	np:s	#rc	rel_0:p	pro.h:a	v:pred	%	cop	#cc:pred	f0.h:a	lv	vother:pred	pro.h:p	ln_dem	np:p2	#rc	rel_pro:a	v:pred	#cc:p	pro.1:s	lv_aux	cop	adp	ln_det	np:pred_l	##	other	pro.1:s	lv_aux	lv	v:pred	##	other	0.1:a	v:pred	ln_det	np:p	adp	pn_np:l	np:other	##	pro.1:s	=lv_aux	lv_aux	v:pred	other:l	other	other	##	0.1:s	other	v:pred	0:p,,devon01,∅	∅	∅	∅	1010	∅	∅	1010	∅	∅	∅	1013	∅	1010	∅	∅	∅	1014	∅	∅	1006	∅	∅	∅	∅	∅	∅	∅	∅	1008	∅	∅	∅	∅	1008	∅	∅	1010	∅	1009	∅	1009	∅	∅	1000	∅	∅	∅	∅	1005	∅	∅	1000	∅	∅	∅	∅	∅	1000	∅	∅	1015	∅	1004	∅	∅	1000	∅	∅	∅	1015	∅	∅	∅	1000	∅	∅	∅,∅	∅	∅	∅	1010	∅	∅	1010	∅	∅	∅	1013	∅	1010	∅	∅	∅	1014	∅	∅	1006	∅	∅	∅	∅	∅	∅	∅	∅	1008	∅	∅	∅	∅	1008	∅	∅	1010	∅	1009	∅	1009	∅	∅	1000	∅	∅	∅	∅	1005	∅	∅	1000	∅	∅	∅	∅	∅	1000	∅	∅	1015	∅	1004	∅	∅	1000	∅	∅	∅	1015	∅	∅	∅	1000	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
devon01_0006,mcenglish,"And uh, I went to the village school at Churston, that was on Churston Cross, that's a dwelling place now, they've turned the old school into dwellings.",#	and	uh	I	went	to	the	village school	at	Churston	#	that	was	on	Churston Cross	#	that	='s	a	dwelling place	now	#	they	='ve	turn-ed	the	old	school	into	dwelling-s,#	and	uh	1SG	go.PST	to	the	village_school	at	Churston	#	DIST.SG	be.PRS.3SG	on	Churston_Cross	#	DIST.SG	=be.PRS.3SG	a	dwelling_place	now	#	3PL	=have.PRS	turn-PTCP.PST	the	old	school	into	dwelling-PL,"And I went to the village school at Churston, that was on Churston Cross, that's a dwelling place now, they've turned the old school into dwellings.",en,MORPHEME_ALIGNED,,devon01_mp3 devon01_wav devon01_eaf devon01_xml devon01_tsv,,66764,82352,##	other	other	pro.1:s	v:pred	adp	ln_det	np:g	rn_adp	rn_pn_np	##	dem_pro:s	cop	adp	pn_np:pred_l	##	dem_pro:s	=cop	ln_deti	np:pred	other	##	pro.h:a	=lv_aux	v:pred	ln_det	ln_adj	np:p	adp	np:obl,,devon01,∅	∅	∅	1000	∅	∅	∅	1016	∅	1004	∅	1016	∅	∅	1017	∅	1016	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	1016	∅	∅,∅	∅	∅	1000	∅	∅	∅	1016	∅	1004	∅	1016	∅	∅	1017	∅	1016	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	1016	∅	∅,∅	∅	∅	∅	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
devon01_0007,mcenglish,"But uh when we talk about Churston Ferrers, the parish consisted of Churston and Galmpton.",#	but	uh	#	when	we	talk	about	Churston Ferrers	%	the	parish	consist-ed	of	Churston	and	Galmpton,#	but	uh	#	when	1PL	talk.PRS	about	Churston_Ferrers	%	the	parish	consist-PST	of	Churston	and	Galmpton,"But when we talk about Churston Ferrers, the Parish consisted of Churston and Galmpton.",en,MORPHEME_ALIGNED,,devon01_mp3 devon01_wav devon01_eaf devon01_xml devon01_tsv,,82352,94185,##	other	other	#ac	other	pro.1:s	v:pred	adp	pn_np:obl	%	ln_det	np:s	v:pred	rv	pn_np:obl	rn	rn_pn_np,,devon01,∅	∅	∅	∅	∅	∅	∅	∅	1018	∅	∅	1019	∅	∅	1004	∅	1020,∅	∅	∅	∅	∅	∅	∅	∅	1018	∅	∅	1019	∅	∅	1004	∅	1020,∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	bridging	∅	∅	∅	∅	new
devon01_0008,mcenglish,"The Churston side was owned by Lord Churston, and the Galmpton side, when I can remember, was owned by the Blomiley family.",#	the	Churston	side	was	own-ed	by	Lord Churston	#	and	the	Galmpton	side	#	when	I	can	remember	%	was	own-ed	by	the	Blomiley family,#	the	Churston	side	be.PRS.3SG	own-PTCP.PST	by	Lord_Churston	#	and	the	Galmpton	side	#	when	1SG	can	remember.INF	%	be.PRS.3SG	own-PTCP.PST	by	the	Blomiley_family,"The Churston side was owned by Lord Churston, and the Galmpton side, as far as I I can remember, was owned by the Blomiley family.",en,MORPHEME_ALIGNED,,devon01_mp3 devon01_wav devon01_eaf devon01_xml devon01_tsv,,94185,114004,##	ln_det	ln_pn_np	np:s	lv_aux	v:pred	adp	pn_np.h:obl	##	other	ln_det	ln_pn_np	np:s	#ac	other	pro.1:s	lv_aux	v:pred	%	cop	v:pred	adp	ln_det	pn_np.h:obl,,devon01,∅	∅	∅	1021	∅	∅	∅	1022	∅	∅	∅	∅	1023	∅	∅	1000	∅	∅	∅	∅	∅	∅	∅	1024,∅	∅	∅	1021	∅	∅	∅	1022	∅	∅	∅	∅	1023	∅	∅	1000	∅	∅	∅	∅	∅	∅	∅	1024,∅	∅	∅	bridging	∅	∅	∅	new	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	new
devon01_0009,mcenglish,"Well, the two villages used to get on very well together, but the Galmpton people, if they wanted to go to church, they had to come to Churston. There was a chapel in Galmpton, but uh, when you talk of Churston Ferrers you've got to bring in Galmpton as well.",#	well	the	two	village-s	used	to	get	on	very	well	together	#	but	the	Galmpton	people	#	if	they	want-ed	#	0	to	go	to	church	%	they	had	to	come	to	Churston	#	there	was	a	chapel	in	Galmpton	#	but	uh	#	when	you	talk	of	Churston Ferrers	%	you	='ve	got	to	bring	in	Galmpton	as	well,#	well	the	two	village-PL	used	to	get.INF	on	very	well	together	#	but	the	Galmpton	people	#	if	3PL	want-PST	#	0_people	to	go.INF	to	church	%	3PL	have.PST	to	come.INF	to	Churston	#	there	be.PRS.3SG	a	chapel	in	Galmpton	#	but	uh	#	when	2SG	talk.PRS	of	Churston_Ferrers	%	2SG	=have.PRS	get.PTCP.PST	to	bring.INF	in	Galmpton	as	well,"Well, the two villages used to get on very well together, but the Galmpton people, if they wanted to go to church, they had to come to Churston. There was a Chapel in Galmpton, but when you talk of Churston Ferrers you've got to bring in Galmpton as well.",en,MORPHEME_ALIGNED,,devon01_mp3 devon01_wav devon01_eaf devon01_xml devon01_tsv,,114004,141347,##	other	ln_det	ln_num	np:s	lv_aux	lv	v:pred	rv	other	other	other	##	other	ln_det	ln_pn_np	np.h:dt_s	#ac	other	pro.h:a	v:pred	#cc:p	f0.h:s	lv	vother:pred	adp	np:g	%	pro.h:s	lv_aux	lv	v:pred	adp	pn_np:g	##	other	other:predex	ln_deti	np:s	adp	pn_np:l	##	other	other	#ac	adp	gen_pro.2:a	v:pred	rv	pn_np:p	%	gen_pro.2:a	=lv_aux	lv_aux	lv	v:pred	rv	pn_np:p	other	other,,devon01,∅	∅	∅	∅	1025	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	1026	∅	∅	1026	∅	∅	1026	∅	∅	∅	∅	∅	1026	∅	∅	∅	∅	1004	∅	∅	∅	∅	1027	∅	1020	∅	∅	∅	∅	∅	∅	∅	∅	1018	∅	∅	∅	∅	∅	∅	∅	1020	∅	∅,∅	∅	∅	∅	1025	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	1026	∅	∅	1026	∅	∅	1026	∅	∅	∅	∅	∅	1026	∅	∅	∅	∅	1004	∅	∅	∅	∅	1027	∅	1020	∅	∅	∅	∅	∅	∅	∅	∅	1018	∅	∅	∅	∅	∅	∅	∅	1020	∅	∅,∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	bridging	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
devon01_0010,mcenglish,[INTERVIEWER] Yes.,[INT]	yes,[INT]	yes,[INTERVIEWER] Yes.,en,MORPHEME_ALIGNED,,devon01_mp3 devon01_wav devon01_eaf devon01_xml devon01_tsv,,141347,142699,[INT]	nc,,devon01,∅	∅,∅	∅,∅	∅
