corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
english	london01	0203	#	#	##	##				
english	london01	0203	and	and	other	other				
english	london01	0203	then	then	other	other				
english	london01	0203	there	there	other	other				
english	london01	0203	was	be.PST.3SG	other:predex	other		predex		
english	london01	0203	ex--	NC	nc	nc				
english	london01	0203	a	a	ln_deti	ln_deti				
english	london01	0203	great	great	ln_adj	ln_adj				
english	london01	0203	big	big	ln_adj	ln_adj				
english	london01	0203	spurt	spurt	np:s	np		s		
english	london01	0203	and	and	rn	rn				
english	london01	0203	a	a	rn_deti	rn_deti				
english	london01	0203	bang	bang	rn	rn				
english	london01	0203	in	in	adp	adp				
english	london01	0203	the	the	ln_det	ln_det				
english	london01	0203	water	water	np:l	np		l		
english	london01	0204	#	#	##	##				
english	london01	0204	and	and	other	other				
english	london01	0204	the	the	ln_det	ln_det				
english	london01	0204	pierman	pierman	np.h:dt_s	np	h	dt_s		
english	london01	0204	#	#	#rc	#rc				
english	london01	0204	who	who	rel_pro.h:s	rel_pro	h	s		
english	london01	0204	was	be.PST.3SG	lv_aux	lv_aux				
english	london01	0204	employ-ed	employ-PTCP.PRS	v:pred	v		pred		
english	london01	0204	by	by	adp	adp				
english	london01	0204	the	the	ln_det	ln_det				
english	london01	0204	PLA	PLA	pn_np:obl	pn_np		obl		
english	london01	0204	%	%	%	%				
english	london01	0204	he	3SG.M	pro.h:s_ds	pro	h	s_ds		
english	london01	0204	said	say.PST	v:pred	v		pred		
english	london01	0204	#	#	##ds	##ds				
english	london01	0204	well	well	other	other				
english	london01	0204	oh	oh	other	other				
english	london01	0204	it	3SG.N	other	other				
english	london01	0204	='s	=be.PRS.3SG	=other:predex	=other		predex		
english	london01	0204	a	a	ln	ln				
english	london01	0204	lot	lot	ln_detq	ln_detq				
english	london01	0204	of	of	ln	ln				
english	london01	0204	thing-s	thing-PL	np:s	np		s		
english	london01	0204	#	#	#	#				
english	london01	0204	0	0_things	f0:s	f0		s		
english	london01	0204	dropped	drop.PTCP.PST	vother:pred	vother		pred		
english	london01	0204	in	in	adp	adp				
english	london01	0204	there	there	other:l	other		l		
english	london01	0205	#	#	##ds	##ds				
english	london01	0205	oh	oh	other	other				
english	london01	0205	crumb-s	crumb-PL	other	other				
english	london01	0205	what	what	intrg_other:pred	intrg_other		pred		
english	london01	0205	='s	=be.PRS.3SG	=cop	=cop				
english	london01	0205	this	PROX.SG	dem_pro:s	dem_pro		s		
english	london01	0205	mind	mind	other	other				
english	london01	0205	of	of	other	other				
english	london01	0205	it	3SG.N.OBL	pro:other	pro		other		
english	london01	0206	#	#	##	##				
english	london01	0206	then	then	other	other				
english	london01	0206	once	once	other	other				
english	london01	0206	again	again	other	other				
english	london01	0206	the	the	nc	nc				
english	london01	0206	as	as	other	other				
english	london01	0206	as	as	other	other				
english	london01	0206	I	1SG	other	other				
english	london01	0206	as	as	other	other				
english	london01	0206	I	1SG	other	other				
english	london01	0206	said	say.PST	other	other				
english	london01	0206	with	with	adp	adp				
english	london01	0206	the	the	nc	nc				
english	london01	0206	the	the	ln_det	ln_det				
english	london01	0206	skipper	skipper	np.h:obl	np	h	obl		
english	london01	0206	I	1SG	pro.1:s	pro	1	s		
english	london01	0206	was	be.PST.1SG	cop	cop				
english	london01	0206	shock-ed	shock-PTCP.PST	other:pred	other		pred		
english	london01	0206	#	#	#ac.neg	#ac.neg				
english	london01	0206	because	because	adp	adp				
english	london01	0206	he	3SG.M	pro.h:s	pro	h	s		
english	london01	0206	did-n't	do.PST-NEG	lv_aux	lv_aux				
english	london01	0206	go	go.INF	v:pred	v		pred		
english	london01	0206	after	after	adp	adp				
english	london01	0206	the	the	ln_det	ln_det				
english	london01	0206	barge-s	barge-PL	np:obl	np		obl		
english	london01	0207	#	#	##	##				
english	london01	0207	but	but	other	other				
english	london01	0207	#	#	#ac	#ac				
english	london01	0207	when	when	adp	adp				
english	london01	0207	the	the	ln_det	ln_det				
english	london01	0207	safety	safety	np:s	np		s		
english	london01	0207	of	of	rn	rn				
english	london01	0207	their	3PL.POSS	rn_pro.h:poss	rn_pro	h	poss		
english	london01	0207	boat	boat	rn_np	rn_np				
english	london01	0207	was	be.PST.3SG	lv_aux	lv_aux				
english	london01	0207	concern-ed	concern-PTCP.PST	v:pred	v		pred		
english	london01	0207	%	%	%	%				
english	london01	0207	and	and	other	other				
english	london01	0207	he	3SG.M	pro.h:s_ds	pro	h	s_ds		
english	london01	0207	='d	=would	=lv_aux	=lv_aux				
english	london01	0207	say	say.INF	v:pred	v		pred		
english	london01	0207	#	#	##ds.neg	##ds.neg				
english	london01	0207	alright	alright	other	other				
english	london01	0207	we	1PL	pro.1:s	pro	1	s		
english	london01	0207	can't	can.NEG	lv_aux	lv_aux				
english	london01	0207	lay	lay.INF	v:pred	v		pred		
english	london01	0207	here	here	other:l	other		l		
english	london01	0207	#	#	##ds.neg	##ds.neg				
english	london01	0207	we	1PL	pro.1:a	pro	1	a		
english	london01	0207	can't	can.NEG	lv_aux	lv_aux				
english	london01	0207	leave	leave.INF	v:pred	v		pred		
english	london01	0207	the	the	ln_det	ln_det				
english	london01	0207	boat	boat	np:p	np		p		
english	london01	0207	#	#	#rc	#rc				
english	london01	0207	which	which	rel_pro:p	rel_pro		p		
english	london01	0207	they	3PL	pro.h:a	pro	h	a		
english	london01	0207	could	could	lv_aux	lv_aux				
english	london01	0207	='ve	=have.INF	=lv_aux	=lv_aux				
english	london01	0207	done	do.PTCP.PST	v:pred	v		pred		
english	london01	0207	no-one	no_one	indef_other.h:other	indef_other	h	other		
english	london01	0207	#	#	#cc	#cc				
english	london01	0207	0	0_they	f0.h:a	f0	h	a		
english	london01	0207	to	to	lv	lv				
english	london01	0207	blame	blame.INF	vother:pred	vother		pred		
english	london01	0207	them	3PL.OBL	pro.h:p	pro	h	p		
english	london01	0208	#	#	##	##				
english	london01	0208	so	so	other	other				
english	london01	0208	we	1PL	pro.1:s	pro	1	s		
english	london01	0208	upped	up.PST	v:pred	v		pred		
english	london01	0208	#	#	##	##				
english	london01	0208	we	1PL	pro.1:s	pro	1	s		
english	london01	0208	all	all	other	other				
english	london01	0208	cast	cast.PST	v:pred	v		pred		
english	london01	0208	off	off	rv	rv				
english	london01	0208	#	#	##	##				
english	london01	0208	and	and	other	other				
english	london01	0208	we	1PL	pro.1:s	pro	1	s		
english	london01	0208	all	all	other	other				
english	london01	0208	went	go.PST	v:pred	v		pred		
english	london01	0208	our	1PL.POSS	ln_pro.1:poss	ln_pro	1	poss		
english	london01	0208	way-s	way-PL	np:other	np		other		
english	london01	0209	#	#	##	##				
english	london01	0209	or	or	other	other				
english	london01	0209	our	1PL.POSS	ln_pro.1:poss	ln_pro	1	poss		
english	london01	0209	other	other	ln_adj	ln_adj				
english	london01	0209	boat	boat	np:s	np		s		
english	london01	0209	was	be.PST.3SG	cop	cop				
english	london01	0209	there	there	other:pred_l	other		pred_l		
english	london01	0209	by	by	adp	adp				
english	london01	0209	that	DIST.SG	ln_dem	ln_dem				
english	london01	0209	time	time	np:other	np		other		
