corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
english	london01	0001	#	#	##	##				
english	london01	0001	0	0_I	0.1:s	0	1	s		
english	london01	0001	was	be.PST.3SG	lv_aux	lv_aux				
english	london01	0001	born	born	v:pred	v		pred		
english	london01	0001	in	in	adp	adp				
english	london01	0001	Poplar	Poplar	pn_np:l	pn_np		l		
english	london01	0001	#	#	##	##				
english	london01	0001	and	and	other	other				
english	london01	0001	I	1SG	pro.1:s	pro	1	s		
english	london01	0001	was	be.PST.1SG	lv_aux	lv_aux				
english	london01	0001	born	born	v:pred	v		pred		
english	london01	0001	in	in	adp	adp				
english	london01	0001	my	1SG.POSS	ln_pro.1:poss	ln_pro	1	poss		
english	london01	0001	parent-s'	parent-PL.POSS	ln_np.h:poss	ln_np	h	poss		
english	london01	0001	house	house	np:l	np		l		
english	london01	0001	in	in	rn_adp	rn_adp				
english	london01	0001	Lochnagar Street	Lochnagar_Street	rn_pn_np	rn_pn_np				
english	london01	0002	#	#	##	##				
english	london01	0002	uh	uh	other	other				
english	london01	0002	there	there	other	other				
english	london01	0002	was	be.PST.3SG	other:predex	other		predex		
english	london01	0002	no	no	ln	ln				
english	london01	0002	nurse	nurse	np.h:s	np	h	s		
english	london01	0002	#	#	#	#				
english	london01	0002	0	0_nurse	f0.h:s	f0	h	s		
english	london01	0002	came	come.PST	vother:pred	vother		pred		
english	london01	0002	#	#	##	##				
english	london01	0002	at	at	adp	adp				
english	london01	0002	that	DIST.SG	ln_dem	ln_dem				
english	london01	0002	time	time	np:other	np		other		
english	london01	0002	there	there	other	other				
english	london01	0002	was	be.PST.3SG	other:predex	other		predex		
english	london01	0002	still	still	other	other				
english	london01	0002	old	old	ln_adj	ln_adj				
english	london01	0002	women	woman.PL	np.h:s	np	h	s		
english	london01	0002	#	#	#rc	#rc				
english	london01	0002	who	who	rel_pro.h:a	rel_pro	h	a		
english	london01	0002	follow-ed	follow-PST	v:pred	v		pred		
english	london01	0002	doctor-s	doctor-PL	np.h:p	np	h	p		
english	london01	0002	#	#	##	##				
english	london01	0002	uh	uh	other	other				
english	london01	0002	and	and	other	other				
english	london01	0002	the	the	ln_det	ln_det				
english	london01	0002	one	one	indef_other.h:s	indef_other	h	s		
english	london01	0002	#	#	#rc	#rc				
english	london01	0002	who	who	rel_pro.h:a	rel_pro	h	a		
english	london01	0002	attend-ed	attend-PST	v:pred	v		pred		
english	london01	0002	mi	1SG.POSS	ln_pro.1:poss	ln_pro	1	poss		
english	london01	0002	mother	mother	np.h:p	np	h	p		
english	london01	0002	%	%	%	%				
english	london01	0002	was	be.PST.3SG	cop	cop				
english	london01	0002	old	old	ln_adj	ln_adj				
english	london01	0002	Mrs Porridge	Mrs_Porridge	pn_np.h:pred	pn_np	h	pred		
english	london01	0002	#	#	#rc	#rc				
english	london01	0002	who	who	rel_pro.h:s	rel_pro	h	s		
english	london01	0002	live-d	live-PST	v:pred	v		pred		
english	london01	0002	near	near	adp	adp				
english	london01	0002	my	1SG.POSS	ln_pro.1:poss	ln_pro	1	poss		
english	london01	0002	grandmother	grandmother	np.h:l	np	h	l		
english	london01	0002	a	a	ln	ln				
english	london01	0002	few	few	ln_detq	ln_detq				
english	london01	0002	street-s	street-PL	np:l	np		l		
english	london01	0002	away	away	rn	rn				
english	london01	0003	#	#	#rc	#rc				
english	london01	0003	and	and	other	other				
english	london01	0003	uh	uh	other	other				
english	london01	0003	what	what	intrg_other:p	intrg_other		p		
english	london01	0003	they	3PL	pro.h:a	pro	h	a		
english	london01	0003	='d	=would	=lv_aux	=lv_aux				
english	london01	0003	do	do.INF	v:pred	v		pred		
english	london01	0003	#	#	##	##				
english	london01	0003	the	the	ln_det	ln_det				
english	london01	0003	doctor	doctor	np.h:a	np	h	a		
english	london01	0003	would	would	lv_aux	lv_aux				
english	london01	0003	recommend	recommend.INF	v:pred	v		pred		
english	london01	0003	#	#	#cc:p	#cc		p		
english	london01	0003	they	3PL	pro.h:a	pro	h	a		
english	london01	0003	follow-ed	follow-PST	v:pred	v		pred		
english	london01	0003	certain	certain	ln_adj	ln_adj				
english	london01	0003	doctor-s	doctor-PL	np:p	np		p		
english	london01	0003	#	#	##	##				
english	london01	0003	and	and	other	other				
english	london01	0003	then	then	other	other				
english	london01	0003	the	the	ln_det	ln_det				
english	london01	0003	person	person	np.h:a	np	h	a		
english	london01	0003	#	#	#rc	#rc				
english	london01	0003	who	who	rel_pro.h:s	rel_pro	h	s		
english	london01	0003	was	be.PST.3SG	lv_aux	lv_aux				
english	london01	0003	be-ing	be-PTCP.PRS	lv_aux	lv_aux				
english	london01	0003	nurse-d	nurse-PTCP.PST	v:pred	v		pred		
english	london01	0003	attend-ed	attend-PTCP.PST	nc	nc				
english	london01	0003	to	to	nc	nc				
english	london01	0003	%	%	%	%				
english	london01	0003	would	would	lv_aux	lv_aux				
english	london01	0003	pay	pay.INF	v:pred	v		pred		
english	london01	0003	the	the	ln_det	ln_det				
english	london01	0003	woman	woman	np.h:p	np	h	p		
english	london01	0003	#	#	#rc	#rc				
english	london01	0003	who	who	rel_pro.h:s	rel_pro	h	s		
english	london01	0003	follow-ed	follow-PST	v:pred	v		pred		
english	london01	0004	#	#	##	##				
english	london01	0004	now	now	other	other				
