corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
english	devon01	0001	#	#	#nc	#nc				
english	devon01	0001	[INT]	[INT]	[INT]	[INT]				
english	devon01	0001	so	so	nc	nc				
english	devon01	0001	you	2SG	nc_pro.2	nc_pro	2		1000	unused
english	devon01	0001	were	be.PST	nc	nc				
english	devon01	0001	say-ing	say-PTCP.PRS	nc	nc				
english	devon01	0001	#	#	#nc	#nc				
english	devon01	0001	you	2SG	nc_pro.2	nc_pro	2		1000	
english	devon01	0001	were	be.PST	nc	nc				
english	devon01	0001	born	born	nc	nc				
english	devon01	0001	in	in	nc	nc				
english	devon01	0001	Moreleigh	Moreleigh	nc_pn_np	nc_pn_np			1003	new
english	devon01	0002	#	#	##	##				
english	devon01	0002	I	1SG	pro.1:s	pro	1	s	1000	
english	devon01	0002	was	be.PRS.1SG	v:pred	v		pred		
english	devon01	0002	born	born	rv	rv				
english	devon01	0002	in	in	adp	adp				
english	devon01	0002	Moreleigh	Moreleigh	pn_np:l	pn_np		l	1003	
english	devon01	0002	#	#	##	##				
english	devon01	0002	I	1SG	pro.1:s	pro	1	s	1000	
english	devon01	0002	move-d	move-PST	v:pred	v		pred		
english	devon01	0002	to	to	adp	adp				
english	devon01	0002	Churston	Churston	pn_np:g	pn_np		g	1004	bridging
english	devon01	0002	#	#	#ac	#ac				
english	devon01	0002	when	when	other	other				
english	devon01	0002	I	1SG	pro.1:s	pro	1	s	1000	
english	devon01	0002	was	be.PRS.1SG	cop	cop				
english	devon01	0002	nine	nine	other	other				
english	devon01	0002	year	year	other	other				
english	devon01	0002	old	old	other:pred	other		pred		
english	devon01	0002	#	#	##	##				
english	devon01	0002	I	1SG	pro.1:a	pro	1	a	1000	
english	devon01	0002	must	must	lv_aux	lv_aux				
english	devon01	0002	have	have.INF	v:pred	v		pred		
english	devon01	0002	like-d	like-PTCP.PST	v:pred	v		pred		
english	devon01	0002	#	#	#cc:p	#cc		p		
english	devon01	0002	0	0_I	f0.1:s	f0	1	s	1000	
english	devon01	0002	sing-ing	sing-PTCP.PRS	vother:pred	vother		pred		
english	devon01	0002	#	#	#ac	#ac				
english	devon01	0002	because	because	other	other				
