corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
english	kent02	0001	[INT]	[INT]	[INT]	[INT]				
english	kent02	0001	okay	okay	nc	nc				
english	kent02	0001	we	we	nc	nc				
english	kent02	0001	='re	=are	nc	nc				
english	kent02	0001	on	on	nc	nc				
english	kent02	0002	heh	heh	other_dp	other_dp				
english	kent02	0003	[INT]	[INT]	[INT]	[INT]				
english	kent02	0003	we	we	nc	nc				
english	kent02	0003	='re	=are	nc	nc				
english	kent02	0003	on	on	nc	nc				
english	kent02	0003	now	now	nc	nc				
english	kent02	0004	#	#	##	##				
english	kent02	0004	I	I	pro.1:s_ds	pro	1	s_ds		
english	kent02	0004	say	say	v:pred	v		pred		
english	kent02	0004	#	#	#ds	#ds				
english	kent02	0004	there	there	other	other				
english	kent02	0004	was	was	other:predex	other		predex		
english	kent02	0004	a	a	ln_deti	ln_deti				
english	kent02	0004	lot	lot	np:pred	np		pred		
english	kent02	0004	of	of	rn	rn				
english	kent02	0004	gypsies	gypsies	rn_np.h	rn_np	h			
english	kent02	0004	about	about	adp	adp				
english	kent02	0004	the	the	ln_det	ln_det				
english	kent02	0004	place	place	np:l	np		l		
english	kent02	0005	#	#	##	##				
english	kent02	0005	and	and	other	other				
english	kent02	0005	eh	eh	other_dp	other_dp				
english	kent02	0005	they	they	pro.h:s	pro	h	s		
english	kent02	0005	used	used	aux	aux				
english	kent02	0005	to	to	rv	rv				
english	kent02	0005	come	come	v:pred	v		pred		
english	kent02	0005	around	around	adp	adp				
english	kent02	0005	to	to	adp	adp				
english	kent02	0005	the	the	ln_det	ln_det				
english	kent02	0005	back doors	back.doors	np:g	np		g		
english	kent02	0005	to	to	adp	adp				
english	kent02	0005	every	every	ln	ln				
english	kent02	0005	cottage	cottage	np:g	np		g		
english	kent02	0005	#	#	#	#				
english	kent02	0005	and	and	other	other				
english	kent02	0005	0	0_they	0.h:a	0	h	a		
english	kent02	0005	sell	sell	v:pred	v		pred		
english	kent02	0005	these	these	ln_dem	ln_dem				
english	kent02	0005	old	old	ln	ln				
english	kent02	0005	pegs	pegs	np:p	np		p		
english	kent02	0005	#	#	#rc	#rc				
english	kent02	0005	made	made	vother:pred	vother		pred		
